Date,Inflation,Policy Rate,Daily new confirmed cases of COVID-19 per million,Stringency index (weighted average),USD/GHS Exchange Rate
2020-01-01,7.8,16,0,0,5.7
2020-01-02,7.8,16,0,0,5.7125
2020-01-03,7.8,16,0,0,5.72
2020-01-04,7.8,16,0,0,5.709333333
2020-01-05,7.8,16,0,0,5.698666667
2020-01-06,7.8,16,0,0,5.688
2020-01-07,7.8,16,0,0,5.7227
2020-01-08,7.8,16,0,0,5.685
2020-01-09,7.8,16,0,0,5.695
2020-01-10,7.8,16,0,0,5.6621
2020-01-11,7.8,16,0,0,5.663066667
2020-01-12,7.8,16,0,0,5.664033333
2020-01-13,7.8,16,0,0,5.665
2020-01-14,7.8,16,0,0,5.6595
2020-01-15,7.8,16,0,0,5.6798
2020-01-16,7.8,16,0,0,5.67
2020-01-17,7.8,16,0,0,5.635
2020-01-18,7.8,16,0,0,5.64
2020-01-19,7.8,16,0,0,5.645
2020-01-20,7.8,16,0,0,5.65
2020-01-21,7.8,16,0,0,5.6825
2020-01-22,7.8,16,0,0,5.665
2020-01-23,7.8,16,0,0,5.5794
2020-01-24,7.8,16,0,2.78,5.585
2020-01-25,7.8,16,0,2.78,5.585
2020-01-26,7.8,16,0,2.78,5.585
2020-01-27,7.8,16,0,2.78,5.585
2020-01-28,7.8,16,0,2.78,5.5719
2020-01-29,7.8,16,0,2.78,5.5563
2020-01-30,7.8,16,0,2.78,5.505
2020-01-31,7.8,16,0,2.78,5.4863
2020-02-01,7.8,16,0,2.78,5.4692
2020-02-02,7.8,15.94827586,0,2.78,5.4521
2020-02-03,7.8,15.89655172,0,2.78,5.435
2020-02-04,7.8,15.84482759,0,2.78,5.3897
2020-02-05,7.8,15.79310345,0,2.78,5.41
2020-02-06,7.8,15.74137931,0,2.78,5.425
2020-02-07,7.8,15.68965517,0,2.78,5.4141
2020-02-08,7.8,15.63793103,0,2.78,5.412966667
2020-02-09,7.8,15.5862069,0,2.78,5.411833333
2020-02-10,7.8,15.53448276,0,2.78,5.4107
2020-02-11,7.8,15.48275862,0,2.78,5.4071
2020-02-12,7.8,15.43103448,0,2.78,5.3411
2020-02-13,7.8,15.37931034,0,2.78,5.3309
2020-02-14,7.8,15.32758621,0,2.78,5.3217
2020-02-15,7.8,15.27586207,0,2.78,5.326133333
2020-02-16,7.8,15.22413793,0,2.78,5.330566667
2020-02-17,7.8,15.17241379,0,2.78,5.335
2020-02-18,7.8,15.12068966,0,2.78,5.356
2020-02-19,7.8,15.06896552,0,2.78,5.3512
2020-02-20,7.8,15.01724138,0,2.78,5.32
2020-02-21,7.8,14.96551724,0,2.78,5.32
2020-02-22,7.8,14.9137931,0,2.78,5.3239
2020-02-23,7.8,14.86206897,0,2.78,5.3278
2020-02-24,7.8,14.81034483,0,2.78,5.3317
2020-02-25,7.8,14.75862069,0,2.78,5.3739
2020-02-26,7.8,14.70689655,0,2.78,5.4399
2020-02-27,7.8,14.65517241,0,2.78,5.4051
2020-02-28,7.8,14.60344828,0,2.78,5.4658
2020-02-29,7.8,14.55172414,0,2.78,5.452266667
2020-03-01,7.8,14.5,0,2.78,5.438733333
2020-03-02,7.890322581,14.5,0,2.78,5.4252
2020-03-03,7.980645161,14.5,0,2.78,5.4437
2020-03-04,8.070967742,14.5,0,2.78,5.44
2020-03-05,8.161290323,14.5,0,2.78,5.435
2020-03-06,8.251612903,14.5,0,2.78,5.5192
2020-03-07,8.341935484,14.5,0,2.78,5.516133333
2020-03-08,8.432258065,14.5,0,2.78,5.513066667
2020-03-09,8.522580645,14.5,0,2.78,5.51
2020-03-10,8.612903226,14.5,0,2.78,5.525
2020-03-11,8.703225806,14.5,0,8.33,5.52
2020-03-12,8.793548387,14.5,0.030166684,8.33,5.6312
2020-03-13,8.883870968,14.5,0.060333367,8.33,5.515
2020-03-14,8.974193548,14.5,0.030166684,8.33,5.543333333
2020-03-15,9.064516129,14.5,0.120666735,13.89,5.571666667
2020-03-16,9.15483871,14.5,0.060333367,44.44,5.6
2020-03-17,9.24516129,14.5,0.030166684,50,5.59
2020-03-18,9.335483871,14.5,0.120666735,50,5.6292
2020-03-19,9.425806452,14.5,0.09050005,50,5.6057
2020-03-20,9.516129032,14.5,0.120666735,50,5.645
2020-03-21,9.606451613,14.5,0.1810001,50,5.648333333
2020-03-22,9.696774194,14.5,0.09050005,52.78,5.651666667
2020-03-23,9.787096774,14.5,0.09050005,52.78,5.655
2020-03-24,9.877419355,14.5,0.1810001,52.78,5.7214
2020-03-25,9.967741935,14.5,0.39216688,52.78,5.63
2020-03-26,10.05806452,14.5,0.45250025,52.78,5.75
2020-03-27,10.1483871,14.5,1.9306678,52.78,5.715
2020-03-28,10.23870968,14.5,0.1810001,52.78,5.726666667
2020-03-29,10.32903226,14.5,0.09050005,52.78,5.738333333
2020-03-30,10.41935484,14.5,0.3318335,84.26,5.75
2020-03-31,10.50967742,14.5,0,84.26,5.765
2020-04-01,10.6,14.5,0.27150017,84.26,5.685
2020-04-02,10.62333333,14.5,1.0256673,84.26,5.765
2020-04-03,10.64666667,14.5,0.27150017,84.26,5.75
2020-04-04,10.67,14.5,0.030166684,84.26,5.771666667
2020-04-05,10.69333333,14.5,0.27150017,84.26,5.793333333
2020-04-06,10.71666667,14.5,0,84.26,5.815
2020-04-07,10.74,14.5,2.202168,84.26,5.855
2020-04-08,10.76333333,14.5,0.78433377,84.26,5.78
2020-04-09,10.78666667,14.5,0,84.26,5.83
2020-04-10,10.81,14.5,1.9608345,84.26,5.83
2020-04-11,10.83333333,14.5,0,84.26,5.826666667
